number,final record date
53612,2024-09-19 15:00:00+08:00
53614,2024-09-19 15:00:00+08:00
53615,2024-09-19 15:00:00+08:00
53617,2024-09-19 15:00:00+08:00
53618,2024-09-19 15:00:00+08:00
53619,2024-09-19 15:00:00+08:00
53644,2024-09-19 15:00:00+08:00
53646,2024-09-19 19:00:00+08:00
53651,2024-09-19 19:00:00+08:00
53658,2024-09-19 19:00:00+08:00
53659,2024-09-19 16:00:00+08:00
53660,2024-09-19 16:00:00+08:00
53662,2024-09-19 16:00:00+08:00
53663,2024-09-19 16:00:00+08:00
53664,2024-09-19 16:00:00+08:00
53665,2024-09-19 16:00:00+08:00
53666,2024-09-19 16:00:00+08:00
53669,2024-09-19 16:00:00+08:00
53673,2024-09-19 16:00:00+08:00
53674,2024-09-19 16:00:00+08:00
53676,2024-09-19 16:00:00+08:00
53677,2024-09-19 16:00:00+08:00
53678,2024-09-19 16:00:00+08:00
53679,2024-09-19 16:00:00+08:00
53680,2024-09-19 17:00:00+08:00
53681,2024-09-19 16:00:00+08:00
53682,2024-09-19 17:00:00+08:00
53685,2024-09-19 16:00:00+08:00
53687,2024-09-19 16:00:00+08:00
53688,2024-09-19 17:00:00+08:00
53689,2024-09-19 17:00:00+08:00
53690,2024-09-19 17:00:00+08:00
53691,2024-09-19 17:00:00+08:00
53692,2024-09-19 17:00:00+08:00
53693,2024-09-19 17:00:00+08:00
53694,2024-09-19 17:00:00+08:00
53695,2024-09-19 17:00:00+08:00
53696,2024-09-19 17:00:00+08:00
53697,2024-09-19 17:00:00+08:00
53698,2024-09-19 17:00:00+08:00
53699,2024-09-19 17:00:00+08:00
53704,2024-09-19 16:00:00+08:00
53705,2024-09-19 15:00:00+08:00
53707,2024-09-19 16:00:00+08:00
53723,2024-09-19 15:00:00+08:00
53725,2024-09-19 19:00:00+08:00
53727,2024-09-19 16:00:00+08:00
53730,2024-09-19 15:00:00+08:00
53732,2024-09-19 15:00:00+08:00
53735,2024-09-19 19:00:00+08:00
53738,2024-09-19 19:00:00+08:00
53740,2024-09-19 19:00:00+08:00
53748,2024-09-19 19:00:00+08:00
53750,2024-09-19 19:00:00+08:00
53751,2024-09-19 19:00:00+08:00
53753,2024-09-19 16:00:00+08:00
53754,2024-09-19 19:00:00+08:00
53756,2024-09-19 19:00:00+08:00
53757,2024-09-19 19:00:00+08:00
53759,2024-09-19 16:00:00+08:00
53760,2024-09-19 16:00:00+08:00
53763,2024-09-19 16:00:00+08:00
53764,2024-09-19 16:00:00+08:00
53767,2024-09-19 16:00:00+08:00
53768,2024-09-19 16:00:00+08:00
53769,2024-09-19 16:00:00+08:00
53770,2024-09-19 16:00:00+08:00
53771,2024-09-19 16:00:00+08:00
53772,2024-09-19 16:00:00+08:00
53773,2024-09-19 17:00:00+08:00
53774,2024-09-19 16:00:00+08:00
53775,2024-09-19 16:00:00+08:00
53776,2024-09-19 16:00:00+08:00
53777,2024-09-19 16:00:00+08:00
53778,2024-09-19 16:00:00+08:00
53780,2024-09-19 16:00:00+08:00
53781,2024-09-19 17:00:00+08:00
53782,2024-09-19 16:00:00+08:00
53783,2024-09-19 16:00:00+08:00
53784,2024-09-19 17:00:00+08:00
53785,2024-09-19 17:00:00+08:00
53786,2024-09-19 16:00:00+08:00
53787,2024-09-19 16:00:00+08:00
53788,2024-09-19 16:00:00+08:00
53789,2024-09-19 17:00:00+08:00
53790,2024-09-19 17:00:00+08:00
53791,2024-09-19 17:00:00+08:00
53792,2024-09-19 17:00:00+08:00
53794,2024-09-19 17:00:00+08:00
53795,2024-09-19 17:00:00+08:00
53796,2024-09-19 17:00:00+08:00
53797,2024-09-19 17:00:00+08:00
53798,2024-09-19 17:00:00+08:00
53799,2024-09-19 17:00:00+08:00
53806,2024-09-19 15:00:00+08:00
53810,2024-09-19 15:00:00+08:00
53817,2024-09-19 15:00:00+08:00
53821,2024-09-19 18:00:00+08:00
53829,2024-09-19 18:00:00+08:00
53832,2024-09-19 19:00:00+08:00
53841,2024-09-19 19:00:00+08:00
53845,2024-09-19 19:00:00+08:00
53848,2024-09-19 19:00:00+08:00
53850,2024-09-19 19:00:00+08:00
53852,2024-09-19 16:00:00+08:00
53853,2024-09-19 16:00:00+08:00
53854,2024-09-19 19:00:00+08:00
53856,2024-09-19 16:00:00+08:00
53857,2024-09-19 19:00:00+08:00
53859,2024-09-19 16:00:00+08:00
53860,2024-09-19 16:00:00+08:00
53861,2024-09-19 16:00:00+08:00
53862,2024-09-19 16:00:00+08:00
53863,2024-09-19 16:00:00+08:00
53864,2024-09-19 16:00:00+08:00
53865,2024-09-19 16:00:00+08:00
53866,2024-09-19 16:00:00+08:00
53868,2024-09-19 16:00:00+08:00
53869,2024-09-19 16:00:00+08:00
53871,2024-09-19 16:00:00+08:00
53872,2024-09-19 16:00:00+08:00
53873,2024-09-19 16:00:00+08:00
53874,2024-09-19 16:00:00+08:00
53875,2024-09-19 16:00:00+08:00
53877,2024-09-19 16:00:00+08:00
53878,2024-09-19 16:00:00+08:00
53879,2024-09-19 16:00:00+08:00
53880,2024-09-19 16:00:00+08:00
53881,2024-09-19 16:00:00+08:00
53882,2024-09-19 16:00:00+08:00
53883,2024-09-19 17:00:00+08:00
53884,2024-09-19 16:00:00+08:00
53885,2024-09-19 16:00:00+08:00
53886,2024-09-19 17:00:00+08:00
53888,2024-09-19 16:00:00+08:00
53889,2024-09-19 17:00:00+08:00
53890,2024-09-19 17:00:00+08:00
53891,2024-09-19 17:00:00+08:00
53892,2024-09-19 17:00:00+08:00
